vin,bodystyle,exterior_color,fuel_type,make,mileage,model,price,trim,year
1FTEW1E55KFA19111,Pickup Truck,NULL,Gasoline,Ford,36526,F-150,47200,Lariat,2019
5N1DL0MN6LC511001,SUV,Liquid Platinum,Gasoline,INFINITI,19947,QX60,39987,Luxe,2020
JTEBU5JR6K5668460,SUV,Midnight Black Metallic,Gasoline,Toyota,21346,4Runner,43580,Limited,2019
5N1DL0MM4KC534878,SUV,Graphite Shadow,Gasoline,INFINITI,44582,QX60,30991,Luxe,2019
WP0CD2A95NS260254,Convertible,GT Silver Metallic,Gasoline,Porsche,307,911,265500,Turbo,2022
2T2BZMCA3KC199740,SUV,Obsidian Black,Gasoline,Lexus,16996,RX 350,48494,350 W/NAVIGATION,2019
5N1BA0NF1FN622469,SUV,Espresso Black,Gasoline,Nissan,142383,Armada,19695,Platinum,2015
5N1AA0NCXBN619923,SUV,Silver Lightning,Gasoline,Nissan,117684,Armada,14999,SV,2011
5N1AA0NEXFN608055,SUV,Magnetic Black,Gasoline,Nissan,48834,Armada,32977,Platinum,2015
JN8AY2NC8K9580824,SUV,Black,Gasoline,Nissan,46314,Armada,46843,Platinum,2019
JN8AY2AD2N9675642,SUV,Brilliant Silver,Gasoline,Nissan,11956,Armada,56900,SV,2022
JN8AY2NC1K9582320,SUV,Mocha Almond,Gasoline,Nissan,51851,Armada,44497,Platinum,2019
JN8AY2NC1J9558372,SUV,Gun Metallic,Gasoline,Nissan,63708,Armada,33900,SL,2018
5N1AA0NE3CN605669,SUV,Galaxy Black,Gasoline,Nissan,106791,Armada,19999,Platinum,2012
5N1AA0NC3FN612141,SUV,Gun Metallic,Gasoline,Nissan,115208,Armada,18988,SL,2015
JN8AY2ND0LX015070,SUV,Hermosa Blue,Gasoline,Nissan,61331,Armada,33999,SL,2020
JF2SKAUCXKH501951,SUV,Crystal White Pearl,Gasoline,Subaru,37905,Forester,33716,Limited,2019
4T1BK3EK6BU609616,Sedan,White,Gasoline,Toyota,82598,Camry,13995,XLE,2011
2HKRW2H56KH631049,SUV,Sandstorm Metallic,Gasoline,Honda,19416,CR-V,31100,EX,2019
LRBFX2SA8KD120906,SUV,Summit White,Gasoline,Buick,21352,Envision,31060,Essence,2019
3VV3B7AX0JM132445,SUV,Platinum Gray Metallic,Gasoline,Volkswagen,41892,Tiguan,24295,2.0T SE,2018
SALWR2SU3LA707614,SUV,Carpathian Grey,Gasoline,Land Rover,16130,Range Rover Sport,76982,3.0L Supercharged HSE,2020
1GNSKBKC3KR397201,SUV,Black,Gasoline,Chevrolet,15311,Tahoe,47000,LT,2019
1HGCR2F19HA040955,Sedan,Red,Gasoline,Honda,97293,Accord,19980,Sport SE,2017
WBANV93529C134052,Sedan,Blue,Gasoline,BMW,92345,535,10999,i xDrive,2009
1C6SRFJTXMN624107,Pickup Truck,Granite Crystal Clearcoat Metallic,Gasoline,RAM,14499,1500,54995,Laramie,2021
1G1FH1R75G0167157,Coupe,Red,Gasoline,Chevrolet,19580,Camaro,39851,2SS,2016
1GYFZER47KF174452,SUV,Crystal White Tri-Coat,Gasoline,Cadillac,18720,XT4,37800,Sport,2019
WA1BVAF18KD023743,SUV,Orca Black Metallic,Gasoline,Audi,12035,Q8,67992,3.0T Premium,2019
3C6UR5FJ4FG524798,Pickup Truck,Black Clearcoat,Gasoline,RAM,101344,2500,39987,Laramie,2015
1GAZGPFG7K1250759,Passenger Van,Summit White,Gasoline,Chevrolet,50643,Express 3500,43677,LT,2019
1GAZG1FG2C1135906,Passenger Van,White,E85 Flex Fuel,Chevrolet,248609,Express 3500,13999,LT,2012
1GAZGPFF4H1241095,Passenger Van,Summit White,Gasoline,Chevrolet,43798,Express 3500,39880,LT,2017
4JGED6EB5KA154266,SUV,Black,Gasoline,Mercedes-Benz,39149,AMG GLE 43,66895,4MATIC Coupe,2019
5YJ3E1EC8LF714844,Sedan,Deep Blue Metallic,Gasoline,Tesla,17751,Model 3,63791,Performance,2020
5UXTR9C56KLD92712,SUV,Green,Gasoline,BMW,50064,X3,33998,xDrive30i,2019
KL4MMBS2XMB036394,SUV,Ebony Twilight Metallic,Gasoline,Buick,21725,Encore GX,27995,Preferred,2021
WBAJB9C51KB464770,Sedan,Carbon Black Metallic,Gasoline,BMW,30676,M550,62988,i xDrive,2019
